,,,Struggling Index,Suffering Index,Thriving Index,Health Problems,,,,Count On to Help,,,,Experience Calmness Yesterday,,,,Feel at Peace With Life,,,,Exciting Life or Calm Life,,,,,,Various Aspects of Life in Balance,,,,Main Purpose in Life,,,,,,,Focus on Taking Care of Themselves or Taking Care of Others,,,,,,Enjoy the Work You Do Every Day,,,,Work Significantly Improves the Lives of Others Outside of Household,,,,Many Choices in Type of Work,,,
,,,Rate,Rate,Rate,Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),An exciting life,A calm life,(Both),(Neither),(DK),(Refused),Yes,No,(DK),(Refused),Being good at what you do in your daily life,Caring for family and close friends,Helping other people who need help,(None of these),(I do not know my purpose in life),(DK),(Refused),Taking care of themselves,Taking care of others,(Both),(Neither),(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused)
,,,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  ,% Response Rate  
United States,Age,15-24,48.0%,5.2%,46.9%,11.6%,88.4%,0.0%,0.0%,98.8%,1.2%,0.0%,0.0%,69.4%,30.6%,0.0%,0.0%,76.2%,23.8%,0.0%,0.0%,42.4%,54.8%,2.7%,0.0%,0.0%,0.0%,66.9%,33.1%,0.0%,0.0%,42.6%,37.8%,19.6%,0.0%,0.0%,0.0%,0.0%,51.2%,45.9%,2.9%,0.0%,0.0%,0.0%,87.2%,12.8%,0.0%,0.0%,71.0%,29.0%,0.0%,0.0%,69.8%,30.2%,0.0%,0.0%
,,25-34,34.2%,1.7%,64.1%,13.3%,86.7%,0.0%,0.0%,89.6%,10.4%,0.0%,0.0%,75.1%,24.1%,0.0%,0.8%,92.3%,6.9%,0.0%,0.8%,33.7%,64.6%,0.9%,0.0%,0.0%,0.8%,70.6%,28.6%,0.0%,0.8%,34.2%,38.8%,26.2%,0.0%,0.0%,0.0%,0.8%,56.0%,37.2%,5.2%,0.9%,0.0%,0.8%,80.4%,18.5%,0.0%,1.1%,85.0%,14.0%,0.0%,1.1%,75.6%,23.3%,0.0%,1.1%
,,35-44,40.3%,3.2%,56.5%,12.2%,87.8%,0.0%,0.0%,81.9%,18.1%,0.0%,0.0%,73.5%,26.5%,0.0%,0.0%,86.7%,13.3%,0.0%,0.0%,15.9%,76.7%,7.4%,0.0%,0.0%,0.0%,73.5%,26.5%,0.0%,0.0%,23.8%,61.6%,13.2%,1.4%,0.0%,0.0%,0.0%,57.0%,36.0%,6.6%,0.4%,0.0%,0.0%,87.9%,12.1%,0.0%,0.0%,83.3%,16.7%,0.0%,0.0%,86.7%,13.3%,0.0%,0.0%
,,45-64,41.1%,3.1%,55.8%,21.8%,78.2%,0.0%,0.0%,96.6%,3.4%,0.0%,0.0%,82.4%,17.4%,0.2%,0.0%,88.8%,11.2%,0.0%,0.0%,15.1%,83.0%,1.5%,0.0%,0.4%,0.0%,75.4%,23.6%,1.0%,0.0%,24.3%,54.5%,20.5%,0.2%,0.0%,0.0%,0.4%,51.2%,45.0%,3.8%,0.0%,0.0%,0.0%,84.9%,15.1%,0.0%,0.0%,88.3%,11.7%,0.0%,0.0%,76.2%,23.8%,0.0%,0.0%
,,65+,43.0%,2.3%,54.7%,23.8%,75.6%,0.2%,0.5%,96.9%,2.0%,1.1%,0.0%,88.9%,11.1%,0.0%,0.0%,94.6%,5.4%,0.0%,0.0%,10.0%,87.2%,1.6%,1.2%,0.0%,0.0%,84.9%,15.1%,0.0%,0.0%,23.5%,60.8%,13.6%,1.3%,0.0%,0.8%,0.0%,45.6%,42.8%,10.9%,0.2%,0.4%,0.0%,93.7%,5.2%,0.0%,1.1%,92.0%,7.0%,1.0%,0.0%,73.7%,26.3%,0.0%,0.0%
,Gender,Male,41.7%,2.9%,55.5%,15.4%,84.6%,0.0%,0.0%,92.8%,6.8%,0.4%,0.0%,83.9%,15.7%,0.1%,0.3%,88.3%,11.4%,0.0%,0.3%,25.6%,70.4%,3.1%,0.5%,0.1%,0.3%,77.0%,22.7%,0.0%,0.3%,32.7%,49.0%,17.0%,0.8%,0.0%,0.1%,0.5%,52.3%,41.6%,5.4%,0.4%,0.1%,0.3%,87.6%,12.0%,0.0%,0.5%,84.4%,15.0%,0.1%,0.5%,80.7%,18.9%,0.0%,0.5%
,,Female,40.8%,3.2%,56.0%,19.7%,80.1%,0.1%,0.2%,94.3%,5.7%,0.0%,0.0%,74.4%,25.6%,0.0%,0.0%,88.2%,11.8%,0.0%,0.0%,17.8%,79.9%,2.1%,0.0%,0.1%,0.0%,73.0%,26.4%,0.6%,0.0%,24.9%,53.9%,20.4%,0.2%,0.0%,0.2%,0.2%,51.3%,42.4%,6.1%,0.1%,0.1%,0.0%,83.1%,16.7%,0.0%,0.2%,84.5%,15.5%,0.0%,0.0%,72.8%,27.2%,0.0%,0.0%
,Employment Status,Employed full time for an employer,35.2%,1.6%,63.2%,9.0%,91.0%,0.0%,0.0%,94.7%,5.3%,0.0%,0.0%,79.0%,20.7%,0.0%,0.3%,92.2%,7.5%,0.0%,0.3%,25.7%,72.7%,1.1%,0.1%,0.0%,0.3%,76.0%,23.7%,0.0%,0.3%,29.4%,51.4%,18.7%,0.1%,0.0%,0.0%,0.3%,52.3%,44.0%,2.7%,0.6%,0.0%,0.3%,84.6%,15.1%,0.0%,0.3%,85.0%,14.7%,0.0%,0.3%,78.2%,21.5%,0.0%,0.3%
