,,Struggling Index,Suffering Index,Thriving Index,Health Problems,,,,Count On to Help,,,,Experience Calmness Yesterday,,,,Feel at Peace With Life,,,,Exciting Life or Calm Life,,,,,,Various Aspects of Life in Balance,,,,Main Purpose in Life,,,,,,,Focus on Taking Care of Themselves or Taking Care of Others,,,,,,Enjoy the Work You Do Every Day,,,,Work Significantly Improves the Lives of Others Outside of Household,,,,Many Choices in Type of Work,,,
,,Rate,Rate,Rate,Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),An exciting life,A calm life,(Both),(Neither),(DK),(Refused),Yes,No,(DK),(Refused),Being good at what you do in your daily life,Caring for family and close friends,Helping other people who need help,(None of these),(I do not know my purpose in life),(DK),(Refused),Taking care of themselves,Taking care of others,(Both),(Neither),(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused)
,,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate ,% Response Rate 
Age,15-24,52.1%,4.4%,43.5%,9.0%,91.0%,0.1%,0.0%,91.0%,8.5%,0.4%,0.1%,76.0%,23.4%,0.5%,0.1%,82.1%,17.2%,0.7%,0.0%,33.7%,60.5%,4.9%,0.4%,0.5%,0.0%,70.0%,28.9%,1.0%,0.1%,32.5%,42.4%,21.8%,1.6%,0.6%,0.9%,0.1%,51.7%,33.9%,13.7%,0.2%,0.5%,0.0%,79.3%,19.7%,0.9%,0.1%,68.9%,29.9%,1.0%,0.2%,70.2%,29.1%,0.6%,0.1%
,25-34,51.2%,6.5%,42.3%,10.7%,89.2%,0.1%,0.0%,86.1%,13.4%,0.5%,0.0%,74.1%,25.1%,0.8%,0.1%,81.9%,17.0%,1.0%,0.1%,24.6%,68.6%,5.8%,0.3%,0.6%,0.1%,68.6%,29.7%,1.5%,0.1%,28.3%,52.6%,16.8%,0.9%,0.4%,0.9%,0.1%,50.5%,33.1%,15.3%,0.4%,0.6%,0.1%,80.9%,17.8%,1.1%,0.2%,74.1%,24.6%,1.2%,0.1%,69.2%,29.9%,0.8%,0.1%
,35-44,51.8%,7.9%,40.3%,15.3%,84.6%,0.1%,0.0%,84.1%,15.0%,0.8%,0.0%,74.3%,25.0%,0.7%,0.0%,83.7%,15.2%,1.0%,0.1%,16.9%,76.3%,5.7%,0.4%,0.6%,0.1%,72.5%,25.7%,1.6%,0.2%,23.6%,60.1%,13.5%,1.0%,0.5%,1.2%,0.2%,48.0%,34.9%,15.7%,0.3%,0.8%,0.2%,84.5%,14.1%,1.2%,0.2%,76.8%,21.5%,1.6%,0.1%,65.8%,32.9%,1.2%,0.1%
,45-64,52.7%,10.2%,37.1%,27.4%,72.1%,0.4%,0.0%,83.4%,15.5%,1.0%,0.0%,78.5%,20.7%,0.7%,0.1%,84.3%,14.2%,1.4%,0.1%,13.4%,81.2%,4.4%,0.4%,0.5%,0.0%,74.8%,22.8%,2.2%,0.2%,23.6%,57.2%,15.2%,1.6%,0.7%,1.6%,0.2%,44.2%,35.3%,19.0%,0.5%,0.9%,0.1%,86.1%,12.6%,1.1%,0.3%,78.7%,19.1%,2.0%,0.2%,59.1%,39.5%,1.3%,0.1%
,65+,55.2%,9.7%,35.1%,39.8%,59.6%,0.6%,0.1%,87.6%,11.9%,0.6%,0.0%,83.4%,15.7%,0.8%,0.1%,89.1%,9.7%,1.2%,0.1%,10.4%,84.2%,4.2%,0.4%,0.7%,0.1%,81.7%,15.0%,2.9%,0.3%,22.7%,53.7%,17.5%,2.9%,0.6%,2.4%,0.3%,40.7%,36.3%,20.2%,0.7%,1.9%,0.2%,89.1%,9.0%,1.6%,0.3%,75.8%,20.6%,3.3%,0.2%,60.1%,38.0%,1.8%,0.1%
Gender,Male,52.7%,8.9%,38.3%,17.7%,82.0%,0.3%,0.0%,84.9%,14.2%,0.9%,0.0%,78.3%,20.8%,0.8%,0.1%,84.2%,14.8%,0.9%,0.1%,21.8%,71.8%,5.1%,0.5%,0.8%,0.1%,73.0%,25.1%,1.6%,0.2%,27.0%,52.4%,16.6%,1.7%,0.6%,1.4%,0.2%,47.8%,35.0%,15.8%,0.4%,0.9%,0.2%,82.9%,15.7%,1.2%,0.2%,75.3%,22.9%,1.7%,0.1%,66.4%,32.4%,1.1%,0.1%
,Female,52.2%,6.9%,40.8%,23.6%,76.1%,0.3%,0.0%,87.1%,12.3%,0.6%,0.0%,76.0%,23.3%,0.7%,0.1%,84.0%,14.7%,1.3%,0.1%,16.7%,77.7%,4.9%,0.3%,0.4%,0.1%,73.8%,23.9%,2.1%,0.2%,24.8%,55.0%,16.6%,1.4%,0.6%,1.3%,0.2%,46.0%,34.5%,18.2%,0.4%,0.9%,0.1%,84.6%,14.1%,1.0%,0.2%,76.0%,22.1%,1.6%,0.2%,62.3%,36.4%,1.2%,0.1%
Employment Status,Employed full time for an employer,48.0%,5.8%,46.2%,11.7%,88.1%,0.2%,0.0%,89.0%,10.2%,0.8%,0.0%,77.4%,22.2%,0.4%,0.1%,86.5%,12.5%,0.9%,0.1%,21.8%,71.5%,5.7%,0.3%,0.7%,0.1%,76.5%,22.1%,1.2%,0.1%,27.5%,56.8%,12.9%,1.2%,0.4%,1.0%,0.1%,47.1%,36.3%,15.5%,0.4%,0.7%,0.1%,83.3%,15.5%,1.0%,0.2%,76.5%,22.1%,1.3%,0.1%,64.8%,34.0%,1.1%,0.1%
