,,,Struggling Index,Suffering Index,Thriving Index,Health Problems,,,,Count On to Help,,,,Experience Calmness Yesterday,,,,Feel at Peace With Life,,,,Exciting Life or Calm Life,,,,,,Various Aspects of Life in Balance,,,,Main Purpose in Life,,,,,,,Focus on Taking Care of Themselves or Taking Care of Others,,,,,,Enjoy the Work You Do Every Day,,,,Work Significantly Improves the Lives of Others Outside of Household,,,,Many Choices in Type of Work,,,
,,,Rate,Rate,Rate,Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),An exciting life,A calm life,(Both),(Neither),(DK),(Refused),Yes,No,(DK),(Refused),Being good at what you do in your daily life,Caring for family and close friends,Helping other people who need help,(None of these),(I do not know my purpose in life),(DK),(Refused),Taking care of themselves,Taking care of others,(Both),(Neither),(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused),Yes,No,(DK),(Refused)
,,,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate,% Response Rate
United States,Age,15-24,48.00%,5.20%,46.90%,11.60%,88.40%,0.00%,0.00%,98.80%,1.20%,0.00%,0.00%,69.40%,30.60%,0.00%,0.00%,76.20%,23.80%,0.00%,0.00%,42.40%,54.80%,2.70%,0.00%,0.00%,0.00%,66.90%,33.10%,0.00%,0.00%,42.60%,37.80%,19.60%,0.00%,0.00%,0.00%,0.00%,51.20%,45.90%,2.90%,0.00%,0.00%,0.00%,87.20%,12.80%,0.00%,0.00%,71.00%,29.00%,0.00%,0.00%,69.80%,30.20%,0.00%,0.00%
,,25-34,34.20%,1.70%,64.10%,13.30%,86.70%,0.00%,0.00%,89.60%,10.40%,0.00%,0.00%,75.10%,24.10%,0.00%,0.80%,92.30%,6.90%,0.00%,0.80%,33.70%,64.60%,0.90%,0.00%,0.00%,0.80%,70.60%,28.60%,0.00%,0.80%,34.20%,38.80%,26.20%,0.00%,0.00%,0.00%,0.80%,56.00%,37.20%,5.20%,0.90%,0.00%,0.80%,80.40%,18.50%,0.00%,1.10%,85.00%,14.00%,0.00%,1.10%,75.60%,23.30%,0.00%,1.10%
,,35-44,40.30%,3.20%,56.50%,12.20%,87.80%,0.00%,0.00%,81.90%,18.10%,0.00%,0.00%,73.50%,26.50%,0.00%,0.00%,86.70%,13.30%,0.00%,0.00%,15.90%,76.70%,7.40%,0.00%,0.00%,0.00%,73.50%,26.50%,0.00%,0.00%,23.80%,61.60%,13.20%,1.40%,0.00%,0.00%,0.00%,57.00%,36.00%,6.60%,0.40%,0.00%,0.00%,87.90%,12.10%,0.00%,0.00%,83.30%,16.70%,0.00%,0.00%,86.70%,13.30%,0.00%,0.00%
,,45-64,41.10%,3.10%,55.80%,21.80%,78.20%,0.00%,0.00%,96.60%,3.40%,0.00%,0.00%,82.40%,17.40%,0.20%,0.00%,88.80%,11.20%,0.00%,0.00%,15.10%,83.00%,1.50%,0.00%,0.40%,0.00%,75.40%,23.60%,1.00%,0.00%,24.30%,54.50%,20.50%,0.20%,0.00%,0.00%,0.40%,51.20%,45.00%,3.80%,0.00%,0.00%,0.00%,84.90%,15.10%,0.00%,0.00%,88.30%,11.70%,0.00%,0.00%,76.20%,23.80%,0.00%,0.00%
,,65+,43.00%,2.30%,54.70%,23.80%,75.60%,0.20%,0.50%,96.90%,2.00%,1.10%,0.00%,88.90%,11.10%,0.00%,0.00%,94.60%,5.40%,0.00%,0.00%,10.00%,87.20%,1.60%,1.20%,0.00%,0.00%,84.90%,15.10%,0.00%,0.00%,23.50%,60.80%,13.60%,1.30%,0.00%,0.80%,0.00%,45.60%,42.80%,10.90%,0.20%,0.40%,0.00%,93.70%,5.20%,0.00%,1.10%,92.00%,7.00%,1.00%,0.00%,73.70%,26.30%,0.00%,0.00%
,Gender,Male,41.70%,2.90%,55.50%,15.40%,84.60%,0.00%,0.00%,92.80%,6.80%,0.40%,0.00%,83.90%,15.70%,0.10%,0.30%,88.30%,11.40%,0.00%,0.30%,25.60%,70.40%,3.10%,0.50%,0.10%,0.30%,77.00%,22.70%,0.00%,0.30%,32.70%,49.00%,17.00%,0.80%,0.00%,0.10%,0.50%,52.30%,41.60%,5.40%,0.40%,0.10%,0.30%,87.60%,12.00%,0.00%,0.50%,84.40%,15.00%,0.10%,0.50%,80.70%,18.90%,0.00%,0.50%
,,Female,40.80%,3.20%,56.00%,19.70%,80.10%,0.10%,0.20%,94.30%,5.70%,0.00%,0.00%,74.40%,25.60%,0.00%,0.00%,88.20%,11.80%,0.00%,0.00%,17.80%,79.90%,2.10%,0.00%,0.10%,0.00%,73.00%,26.40%,0.60%,0.00%,24.90%,53.90%,20.40%,0.20%,0.00%,0.20%,0.20%,51.30%,42.40%,6.10%,0.10%,0.10%,0.00%,83.10%,16.70%,0.00%,0.20%,84.50%,15.50%,0.00%,0.00%,72.80%,27.20%,0.00%,0.00%
,Employment Status,Employed full time for an employer,35.20%,1.60%,63.20%,9.00%,91.00%,0.00%,0.00%,94.70%,5.30%,0.00%,0.00%,79.00%,20.70%,0.00%,0.30%,92.20%,7.50%,0.00%,0.30%,25.70%,72.70%,1.10%,0.10%,0.00%,0.30%,76.00%,23.70%,0.00%,0.30%,29.40%,51.40%,18.70%,0.10%,0.00%,0.00%,0.30%,52.30%,44.00%,2.70%,0.60%,0.00%,0.30%,84.60%,15.10%,0.00%,0.30%,85.00%,14.70%,0.00%,0.30%,78.20%,21.50%,0.00%,0.30%
